presentationTopic,presentationTopicId,presentationCount,researchTopic,researchTopicId,mappingType,mappingReason,evidenceSource,safeForArchiveFilter,safeForResearchContext,humanReviewNeeded,notes
"opettajan arki","opettajan arki","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=HkRvziyrg2IqL5S"
"opettajan työ","opettajan tyo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=aDY3w1A8bLJm0kr"
"opettajan työkalu","opettajan tyokalu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=NwJZ8FVrbTIF80L"
"opettajan työkalut","opettajan tyokalut","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"opettajaprofiili","opettajaprofiili","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs"
"opettajien koulutus","opettajien koulutus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=aTM5lGaNw5NYCtj"
"opettajuuden muutos","opettajuuden muutos","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=A3EfkY3y1avAegc"
"opetuksen kehittäminen","opetuksen kehittaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sDBhfb4DZw_hcEG"
"opetusalan tekoäly","opetusalan tekoaly","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs"
"opetushenkilöstö","opetushenkilosto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H13QgkxVZpEyel5"
"opetuskäytäntö","opetuskaytanto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=jkh6GGDWw4nOc3_"
"opetussuunnitelma","opetussuunnitelma","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=kJtKo_ZUxCFEOTn"
"opetusteknologia","opetusteknologia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"opetustoimi","opetustoimi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"opinto-ohjaus","opinto ohjaus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=hmeIKU2KmombmX2"
"OpinTori","opintori","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"Opinvirta","opinvirta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WNfJmky8Se8aUa6"
"Opopassi","opopassi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=hmeIKU2KmombmX2"
"Oppiminen","oppiminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/teknologia-opetuksen-tukena-video-1-keskustelemme-suhteestamme/"
"oppimisen tuki","oppimisen tuki","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=y4oM9QaEQrxs2Lq"
"Oppiva verkosto","oppiva verkosto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"osaaminen","osaaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=nJE4skdc9hohwL0"
"Osaava DigiOpe","osaava digiope","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=RIjexbw0vJhknqR"
"OSYK","osyk","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H13QgkxVZpEyel5"
"OTAVIA","otavia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I1SYHLZ9wRiCanl"
"Oulu","oulu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/syntyvyys-ja-kouluik-luokat-oulussa-2026/"
"Palkinto","palkinto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/avoin-tiede-2021-avoimeen-oppimiseen-ja-opetukseen/"
"palveluverkko","palveluverkko","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=kJtKo_ZUxCFEOTn"
"pedagogiikka","pedagogiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=gkvZ4JJwmVa0Knk"
"pedagogiset lähestymistavat","pedagogiset lahestymistavat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=fMchhKOJuh9LPSe"
"pedagogiset sovellukset","pedagogiset sovellukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=o2KsaiK39PKEN2g"
"PedaPalat","pedapalat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"Person-plus","person plus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sDBhfb4DZw_hcEG"
"personalisation","personalisation","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ"
"peruskoulu","peruskoulu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ufZPce1w_asMPp_"
"Peruskoulun tulevaisuustyö","peruskoulun tulevaisuustyo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=tjqmy-4Lc_5j41O"
"perusopetus","perusopetus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"perusteet","perusteet","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H13QgkxVZpEyel5"
"pieni kielikone","pieni kielikone","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR"
"PISA LDW","pisa ldw","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WrqBItfiBYxVHlM"
"PowerPoint","powerpoint","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/powerpoint-harjoitus/10557979|Luento: Powerpoint harjoitus"
"PowerPoint-tekstitys","powerpoint tekstitys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"PraBa","praba","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"pre-service teacher education","pre service teacher education","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=UigBOzdI_YhoZZG"
"primary school","primary school","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=_Hb99jYnxlwV_7J"
"professional tool","professional tool","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"Robokampus","robokampus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=9vbIlfCJtVMnz0L"
"S2-opetus","s2 opetus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"saavutettavuus","saavutettavuus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"sanelu","sanelu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"Shadow AI","shadow ai","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=OhD7wKtj_XV-VGg"
"Shield-ohjelma","shield ohjelma","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qx9PoFlOBrBceoH"
"sivistyslautakunta","sivistyslautakunta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=kJtKo_ZUxCFEOTn"
"sivistysverkosto","sivistysverkosto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=kJtKo_ZUxCFEOTn"
"SLM","slm","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=gkvZ4JJwmVa0Knk"
"strategia","strategia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=OhD7wKtj_XV-VGg"
"sukujuhla","sukujuhla","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/mummo-nkkulma-sukupuun-juurelta-tai-ainakin-melkein-sukujuhla-2014/37584942|MUMMO Näkökulma sukupuun juurelta.. Tai ainakin melkein.. Sukujuhla 2014"
"Suomi-malli","suomi malli","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM"
"supervoima","supervoima","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DUFz3anJzfZmV8G"
"synteettiset sisällöt","synteettiset sisallot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=A3EfkY3y1avAegc"
"syventävä lukuohjelma","syventava lukuohjelma","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"Sähköiset oppimisympäristöt","sahkoiset oppimisymparistot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/lea-hanke-visioita-sahkoisista-oppimisymparistoista/"
"tapaustutkimus","tapaustutkimus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=UigBOzdI_YhoZZG"
"tdk-luento","tdk luento","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"teacher autonomy","teacher autonomy","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM"
"teacher competencies","teacher competencies","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Th9VKpjA84-sgKY"
"teaching","teaching","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Cms-4m8mJZ9yK4e"
"Teknologia","teknologia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/teknologia-opetuksen-tukena-video-1-keskustelemme-suhteestamme/"
"teknologiahistoria","teknologiahistoria","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=A3EfkY3y1avAegc"
"tekoäly kaikkialla","tekoaly kaikkialla","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=F5-Wd95VzJy0JoP"
"tekoäly kouluissa","tekoaly kouluissa","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=i5qAHZkGYqjOGZV"
"tekoäly koulussa","tekoaly koulussa","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"tekoäly oppimisessa","tekoaly oppimisessa","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=SiQ1lIJLHO9eT0t"
"tekoälyagentit","tekoalyagentit","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=EAMOOLnvrmnE_0g"
"tekoälyinspis","tekoalyinspis","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"tekoälykehitys","tekoalykehitys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I1SYHLZ9wRiCanl"
"tekoälyn historia","tekoalyn historia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=nJE4skdc9hohwL0"
"tekoälyn kieltäminen","tekoalyn kieltaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=OhD7wKtj_XV-VGg"
"tekoälyn toiminta","tekoalyn toiminta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Mh-ALQxZX1-EQaB"
"tekoälyn vaikutukset","tekoalyn vaikutukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=gkvZ4JJwmVa0Knk"
"tekoälyosaaminen","tekoalyosaaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=uZIb__sx1r4EAqT"
"tekoälysovellukset","tekoalysovellukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/generation-ai-yleisesitys-sovellukset-2026/"
"Tekoälysovellukset","tekoalysovellukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/generation-ai-yleisesitys-sovellukset-2026/"
"tekoälyteknologiat","tekoalyteknologiat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"tekstittäminen","tekstittaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"tekstitys","tekstitys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"Think First model","think first model","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"tietotyö","tietotyo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=nJE4skdc9hohwL0"
"TkaEdite","tkaedite","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=ELi8lObr4rmLy89"
"toimijuus","toimijuus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2d_GA4aAEX9qmRs"
"toimintaperiaatteet","toimintaperiaatteet","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=7IyyLkfG4NvVNFy"
"TPACK","tpack","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/luento-3-tpacktaidot-teknologiatuettu-oppiminen-ja-opetus/38595557|LUENTO 3: TPACK-taidot – teknologiatuettu oppiminen ja opetus"
"transformer","transformer","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR"
"turvallisuuskasvatus","turvallisuuskasvatus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"tutkimus","tutkimus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"tutkimuspohjainen","tutkimuspohjainen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=F5-Wd95VzJy0JoP"
"tutkimusprosessi","tutkimusprosessi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/quali-lecture-1-17116725/17116725|Quali lecture 1: Understanding the research process"
"uhka vai mahdollisuus","uhka vai mahdollisuus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=HkRvziyrg2IqL5S"
"UNESCO AI kompetenssit","unesco ai kompetenssit","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=m5VefIslzj_iYuG"
"university pedagogy","university pedagogy","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"uudet teknologiat","uudet teknologiat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"vaikuttaminen","vaikuttaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=BHFIfQOhEw4ABCA"
"valeuutiset","valeuutiset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=KStaqdjmBpQz_Yq"
"verkkoluento","verkkoluento","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"verkostojen verkosto","verkostojen verkosto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=2PrBoY6M2CTg60F"
"vibe coding","vibe coding","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=9vbIlfCJtVMnz0L"
"viitekehys","viitekehys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DUFz3anJzfZmV8G"
"virtuaaliyliopisto","virtuaaliyliopisto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/soutelua-tendiallokossa-web-20-onko-sit-edes-olemassa-ajatuksia-ja-kokemuksia-sosiaalisen-webin-hydyntmisest-opetuksessa/202129|Soutelua tendiallokossa - Web 2.0, onko sitä edes olemassa? Ajatuksia ja kokemuksia sosiaalisen webin hyödyntämisestä opetuksessa."
"väestöennuste","vaestoennuste","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/syntyvyys-ja-kouluik-luokat-oulussa-2026/"
"Väestötieto","vaestotieto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/syntyvyys-ja-kouluik-luokat-oulussa-2026/"
"www.etäopetus.fi","www etaopetus fi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"XR","xr","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/eduxr-2020-suunnanmuutos-digiopettajasta-etaopettajaksi/"
"ydintaidot","ydintaidot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=nJE4skdc9hohwL0"
"yhdistystoiminta","yhdistystoiminta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=IMm6-JD8PRTBK2F"
"yhteistoiminnallinen oppiminen","yhteistoiminnallinen oppiminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=UigBOzdI_YhoZZG"
"yhteisöllinen oppiminen","yhteisollinen oppiminen","1","Mobiilioppiminen ja yhteisöllinen tiedonrakentelu","long-term-learning","NARROWER","Exact current research theme label under the long-term learning preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: koulutusteknologia-ja-oppimisymparistot researchThemes","true","true","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/scaffolding-collaborative-learning-with-cognitive-tools-based-on-mobile-computers-10188888/10188888|Scaffolding collaborative learning with cognitive tools based on mobile computers (2011)"
"yliopistopedagogiikka","yliopistopedagogiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"ystävä vai vihollinen","ystava vai vihollinen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sdrdv3W33qRpdA8"
"ZPD","zpd","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ"
